number,position,name,club,age,height,weight,country,active,twitter
24,GK,Marco Carducci,Vancouver Whitecaps FC,18,6' 1",185,Canada,Active,No Twitter
16,M,Servando Carrasco,Sporting Kansas City,26,5' 10",175,USA,Active,No Twitter
7,M,Brian Carroll,Philadelphia Union,33,5' 10",155,USA,Active,No Twitter
6,M,Tony Cascio,Orlando City SC,24,6',170,USA,Active,No Twitter
6,F,Conor Casey,Philadelphia Union,33,6' 1",190,USA,Active,No Twitter
24,GK,Santiago Castaño,New York Red Bulls,19,6' 2",184,USA,Active,No Twitter
11,F,Fabián Castillo,FC Dallas,22,5' 8",150,Colombia,Active,No Twitter
19,F,Dzenan Catic,Philadelphia Union,22,6' 3",185,Bosnia &amp; Herzegovina,Active,Dz_Catic
7,M,Cordell Cato,San Jose Earthquakes,22,5' 9",150,Trinidad and Tobago,Active,CordellMCato
17,M,Darwin Cerén,Orlando City SC,25,5' 7",165,El Salvador,Active,No Twitter
14,M,Jay Chapman,Toronto FC,21,6',157,Canada,Active,No Twitter
21,M,Diego Chara,Portland Timbers,28,5' 8",150,Colombia,Active,DiegoChara21
,M,Benoit Cheyrou,Toronto FC,33,6',175,France,Active,No Twitter
23,D,Laurent Ciman,Montreal Impact,29,6',155,Belgium,Active,No Twitter
13,M,Ricardo Clark,Houston Dynamo,32,5' 10",160,USA,Active,RicoC13
1,GK,Steve Clark,Columbus Crew SC,28,6' 2",192,USA,Active,No Twitter
34,F,Caleb Clarke,Vancouver Whitecaps FC,21,6' 1",165,Canada,Active,No Twitter
20,M,Jorge Claros,Sporting Kansas City,29,5' 9",155,Honduras,Active,No Twitter
16,D,A.J. Cochran,Houston Dynamo,22,6' 3",195,USA,Active,Alec_Cochran
16,D,Greg Cochrane,Chicago Fire,24,5' 8",140,USA,Active,gregcoch
30,M,Razvan Cocis,Chicago Fire,31,5' 11",161,Romania,Active,No Twitter
78,D,Aurélien Collin,Orlando City SC,28,6' 2",169,France,Active,ampC2
33,F,Kenny Cooper,Seattle Sounders FC,30,6' 3",210,USA,Active,No Twitter
,D,Andres Correa,Seattle Sounders FC,21,5' 10",175,Colombia,Active,No Twitter
16,F,Coy Craft,FC Dallas,17,6' 2",175,USA,Active,No Twitter
,F,Andy Craven,Seattle Sounders FC,23,5' 11",170,USA,Active,andymcraven
3,D,Warren Creavalle,Toronto FC,24,5' 11",170,USA,Active,warrenspeak
40,GK,Maxime Crépeau,Montreal Impact,20,5' 11",199,Canada,Active,MaxCrepeau
6,M,Sam Cronin,Colorado Rapids,28,5' 10",165,USA,Active,No Twitter
44,D/M,Danny Cruz,Philadelphia Union,25,5' 8",170,USA,Active,Dannycruz5
9,F,Charlie Davies,New England Revolution,28,5' 10",175,USA,Active,CharlieDavies9
11,M,Brad Davis,Houston Dynamo,33,5' 11",170,USA,Active,brad_davis11
27,M,Sean Davis,New York Red Bulls,22,6',165,,Active,SeanAkiraDavis
22,D,Christian Dean,Vancouver Whitecaps FC,21,6' 3",198,USA,Active,christiandean22
20,D,A.J. DeLaGarza,LA Galaxy,27,5' 9",150,USA,Active,AJD_20
14,M,Nick DeLeon,D.C. United,24,5' 10",170,USA,Active,nickdeleon7
,M,Marco Delgado,Toronto FC,19,5' 9",146,USA,Active,MarkyDelgado
12,M,Edder Delgado,Honduras,28,5' 9",,Honduras,Active,No Twitter
2,F,Clint Dempsey,Seattle Sounders FC,31,6' 1",170,USA,Active,Clint_Dempsey
1,GK,Tyler Deric,Houston Dynamo,26,6' 3",185,USA,Active,tyderic
10,M,Mauro Díaz,FC Dallas,23,5' 7",137,Argentina,Active,No Twitter
7,F,Bright Dike,Toronto FC,28,6',213,United States,Active,bbright19
10,M,Mix Diskerud,New York City FC,24,6',156,Norway,Active,MixDiskerud
23,F,Guilherme do Prado,Chicago Fire,33,6' 3",180,Brazil,Active,No Twitter
33,M,Marco Donadel,Montreal Impact,31,5' 10",160,Italy,Active,No Twitter
23,D,Conor Donovan,Orlando City SC,19,6' 2",176,,Active,No Twitter
22,D,Patrick Doody,Chicago Fire,22,6',180,United States,Active,PatrickDoody19
12,M,Andy Dorman,New England Revolution,32,6' 1",160,England,Active,No Twitter
30,F,Conor Doyle,D.C. United,23,6' 2",172,USA,Active,No Twitter
11,M,Dilly Duka,Montreal Impact,25,5' 9",160,USA,Active,dilaverduka
2,D,Todd Dunivant,LA Galaxy,34,6' 1",175,USA,Active,todddunivant
23,M,Matthew Dunn,New York City FC,21,5' 10",163,USA,Active,matthewdunnm
25,D,Chris Duvall,New York Red Bulls,23,5' 10",150,USA,Active,No Twitter
14,F,Dom Dwyer,Sporting Kansas City,24,5' 9",180,England,Active,Ddwyer14
50,GK,Andrew Dykstra,D.C. United,29,6' 4",195,USA,Active,No Twitter
33,D,Otis Earle,FC Dallas,23,6',170,England,Active,ojearle3
8,M,Maurice Edu,Philadelphia Union,28,6',170,USA,Active,MauriceEdu
4,D,Kevin Ellis,Sporting Kansas City,23,5' 9",160,USA,Active,Kev_Ellis4
19,F,Charles Eloundou,Colorado Rapids,20,5' 7",155,Cameroon,Active,No Twitter
11,F,Innocent Emeghara,San Jose Earthquakes,25,5' 7",150,Nigeria,Active,No Twitter
10,F,Fabián Espíndola,D.C. United,29,5' 9",160,Argentina,Active,No Twitter
27,M,Roger Espinoza,Sporting Kansas City,28,5' 11",170,Honduras,Active,No Twitter
3,M/F,David Estrada,D.C. United,27,5' 8",160,Mexico,Active,No Twitter
55,M,Estrela,Orlando City SC,19,5' 7",150,Angola,Active,No Twitter
3,M,Brad Evans,Seattle Sounders FC,29,6' 1",160,USA,Active,@brad_evans3
33,D,Fábinho,Philadelphia Union,29,5' 7",149,Brazil,Active,No Twitter
14,F,Diego Fagundez,New England Revolution,20,5' 8",140,Uruguay,Active,DiegoFagundez14
,M,Michael Farfan,D.C. United,26,5' 9",160,USA,Active,MichaelFarfan88
2,D,Andrew Farrell,New England Revolution,22,5' 11",165,USA,Active,2Fast2Farrell
10,M,Benny Feilhaber,Sporting Kansas City,30,5' 9",160,Brazil,Active,b_feilhaber22
1,GK,Lalo Fernandez,Real Salt Lake,22,6' 3",170,Mexico,Active,Lalofernandez_1
10,F,Gastón Fernández,Portland Timbers,31,5' 8",160,Argentina,Active,No Twitter
17,M,Collin Fernandez,Chicago Fire,18,5' 8",140,,Active,cfer97
55,F,Robbie Findley,Toronto FC,29,5' 9",165,USA,Active,RobbieFindley
13,M,Ethan Finlay,Columbus Crew SC,24,5' 9",165,USA,Active,EthanFinlay13
1,GK,Akira Fitzgerald,New York City FC,27,5' 11",174,Japan,Active,AkiraFitzgerald
26,M,George Fochive,Portland Timbers,22,5' 9",172,USA,Active,No Twitter
42,GK,Josh Ford,Orlando City SC,27,6',175,USA,Active,No Twitter
20,D,Shaun Francis,San Jose Earthquakes,28,6',165,Jamaica,Active,rivi29
14,D,Waylon Francis,Columbus Crew SC,24,5' 9",160,Costa Rica,Active,No Twitter
5,D,Sean Franklin,D.C. United,29,5' 10",160,USA,Active,SFranklin5
77,M,Fred,Philadelphia Union,35,5' 8",150,Brazil,Active,FreddaSilva_7
24,G,Stefan Frei,Seattle Sounders FC,28,6' 3",195,Switzerland,Active,Stefan24Frei
38,M,Kianz Froese,Vancouver Whitecaps FC,18,5' 9",170,Cuba,Active,KianzFroese
19,F,Mike Fucito,San Jose Earthquakes,28,5' 9",165,USA,Active,No Twitter
28,D,Raymon Gaddis,Philadelphia Union,25,5' 9",151,USA,Active,raygaddis
50,M,Jérémy Gagnon-Laparé,Montreal Impact,19,5' 11",165,Canada,Active,No Twitter
19,M,Romain Gall,Columbus Crew SC,20,5' 9",140,France,Active,RomainGall
25,M,Rafael Garcia,LA Galaxy,26,5' 6",150,USA,Active,rafizzy07
27,M,Boniek Garcia,Houston Dynamo,30,5' 9",150,Honduras,Active,No Twitter
13,F,Olmes García,Real Salt Lake,22,6',175,Colombia,Active,Olmesgarcia13
26,M,Danny Garcia,FC Dallas,21,5' 5",140,USA,Active,No Twitter
33,D,Dan Gargan,LA Galaxy,32,5' 11",175,USA,Active,RealDanGargan
8,M,Luis Garrido,Houston Dynamo,24,5' 7",165,Honduras,Active,No Twitter
6,D,Eric Gehrig,Chicago Fire,27,6' 1",160,USA,Active,egehrig16
12,M,Kevan George,Columbus Crew SC,25,6' 2",170,Trinidad and Tobago,Active,kickitwithkevan
21,M,Luis Gil,Real Salt Lake,21,5' 10",155,USA,Active,luisitogil21
9,F,Gilberto,Toronto FC,25,5' 10",160,Brazil,Active,No Twitter
10,M,Sebastian Giovinco,Toronto FC,28,5' 4",130,Italy,Active,No Twitter
14,D,Justen Glad,Real Salt Lake,17,6',145,USA,Active,No Twitter
90,GK,Jake Gleeson,Portland Timbers,24,6' 3",200,New Zealand,Active,jgleeson20
11,M,Jackson Gonçalves,Toronto FC,26,5' 9",155,Brazil,Active,No Twitter
23,D,José Gonçalves,New England Revolution,29,6' 2",180,Portugal,Active,Oneswitz
12,D,Leo González,Seattle Sounders FC,34,6' 1",174,Costa Rica,Active,No Twitter
4,D,Omar Gonzalez,LA Galaxy,26,6' 5",205,USA,Active,Omar4Gonzalez
44,GK,Jesse Gonzalez,FC Dallas,19,6' 4",180,USA,Active,No Twitter
44,D,Clarence Goodson,San Jose Earthquakes,32,6' 4",180,USA,Active,No Twitter
9,F,Alan Gordon,LA Galaxy,33,6' 3",190,USA,Active,No Twitter
11,M,Ned Grabavoy,New York City FC,31,5' 7",160,USA,Active,No Twitter
27,D,Hernan Grana,Columbus Crew SC,29,5' 7",152,Argentina,Active,No Twitter
,F,Mike Grella,New York Red Bulls,28,5' 11",178,USA,Active,No Twitter
6,D,Nick Hagglund,Toronto FC,22,6' 1",193,USA,Active,No Twitter
94,M,Marlon Hairston,Colorado Rapids,20,6',157,USA,Active,MARLYG10
,M,Jeremy Hall,New England Revolution,26,5' 10",177,USA,Active,JeremyHall17
22,GK,Tally Hall,Orlando City SC,29,6' 4",215,USA,Active,tallyhallGK
22,M,Connor Hallisey,Sporting Kansas City,22,5' 9",158,,Active,c_hallisey
,M/D,Markus Halsti,D.C. United,30,6' 1",185,Finland,Active,No Twitter
28,GK,Bill Hamid,D.C. United,24,6' 3",225,USA,Active,BillHamid28
22,F,Jordan Hamilton,Toronto FC,18,6',194,Canada,Active,No Twitter
2,D,Ty Harden,San Jose Earthquakes,30,6' 1",190,USA,Active,No Twitter
5,D,Michael Harrington,Colorado Rapids,29,6',170,USA,Active,mikeymomoney2
14,M,Atiba Harris,FC Dallas,30,6' 3",185,Saint Kitts and Nevis,Active,AtibaHarris
2,D,Jordan Harvey,Vancouver Whitecaps FC,31,5' 11",170,USA,Active,JordanCHarvey
8,M,Harrison Heath,Orlando City SC,18,5' 11",160,England,Active,No Twitter
24,D,Matt Hedges,FC Dallas,24,6' 4",185,USA,Active,Matt_Hedges
21,D,Jason Hernandez,New York City FC,31,5' 10",170,USA,Active,J_Hernandez_21
3,D,Moises Hernandez,FC Dallas,22,6',155,USA,Active,MoHernandez92
10,F,Federico Higuain,Columbus Crew SC,30,5' 8",165,Argentina,Active,fhiguain_33
7,M,Cristian Higuita,Orlando City SC,21,5' 9",174,Colombia,Active,CristianHiguit2
17,F,Chandler Hoffman,Houston Dynamo,24,6',160,USA,Active,Chandala
12,M,Ryan Hollingshead,FC Dallas,23,6' 1",180,USA,Active,No Twitter
29,F,Antoine Hoppenot,Philadelphia Union,24,5' 8",155,USA,Active,AntoineHoppenot
18,D,David Horst,Houston Dynamo,29,6' 4",210,USA,Active,davidhorst12
19,F/M,Erik Hurtado,Vancouver Whitecaps FC,24,5' 10",180,USA,Active,No Twitter
6,M,Baggio Husidic,LA Galaxy,27,6' 1",172,Bosnia and Herzegovina,Active,Ba99io
77,F,Kennedy Igboananike,Chicago Fire,25,5' 9",154,Nigeria,Active,No Twitter
1,GK,Clint Irwin,Colorado Rapids,25,6' 3",195,USA,Active,ClintIrwin
24,M,Stefan Ishizaki,LA Galaxy,32,5' 11",165,Sweden,Active,No Twitter
24,F,Anthony Jackson-Hamel,Montreal Impact,21,6' 1",180,USA,Active,No Twitter
4,M,Andrew Jacobson,New York City FC,29,6' 2",185,USA,Active,Ajacobson005
14,F,Adam Jahn,San Jose Earthquakes,24,6' 3",185,USA,Active,PillowFeet14
23,F,Sebastian Jaime,Real Salt Lake,28,5' 11",160,Argentina,Active,No Twitter
38,F,Bradford Jamieson,LA Galaxy,18,6' 1",165,USA,Active,@brjIV
4,D,Andrew Jean-Baptiste,New York Red Bulls,22,6' 2",205,USA,Active,ajeanbaptiste92
25,M,Jared Jeffrey,D.C. United,24,5' 11",165,USA,Active,No Twitter
13,M,Jack Jewsbury,Portland Timbers,33,6',185,USA,Active,JewsburyJ
16,M,Hector Jimenez,Columbus Crew SC,26,5' 9",140,USA,Active,HectorJimenez09
6,D,George John,New York City FC,27,6' 3",203,USA,Active,GDoubleJohn
7,F,Eddie Johnson,D.C. United,30,6',180,USA,Active,eddie_johnson7
4,M,Will Johnson,Portland Timbers,28,5' 10",160,Canada,Active,WillJohnson04
25,GK,Sean Johnson,Chicago Fire,25,6' 3",217,USA,Active,SJohn25
14,F,Jason Johnson,Houston Dynamo,24,6',180,Jamaica,Active,reggae_j11
13,M,Jermaine Jones,New England Revolution,33,6',170,Germany,Active,jermainejunior
3,D/M,Joevin Jones,Chicago Fire,23,5' 8",160,Trinidad,Active,No Twitter
17,F,Darwin Jones,Seattle Sounders FC,22,5' 10",175,USA,Active,darwinljones
19,M,Juninho,LA Galaxy,26,5' 7",140,Brazil,Active,Juninho19LA
44,D,Pa Modou Kah,Vancouver Whitecaps FC,34,6' 1",175,The Gambia,Active,No Twitter
10,M,Kaká,Orlando City SC,32,6' 1",181,Brazil,Active,kaka
23,F,Kei Kamara,Columbus Crew SC,30,6' 3",186,Sierra Leone,Active,keikamara
1,GK,Alec Kann,Chicago Fire,24,6' 4",190,USA,Active,No Twitter
,D,Phanuel Kavita,Real Salt Lake,21,6' 1",184,DR Congo,Active,phanuel313
7,F,Robbie Keane,LA Galaxy,34,5' 9",160,Ireland,Active,No Twitter
22,D,Stephen Keel,FC Dallas,31,6',185,USA,Active,StephenKeel22
2,D,Taylor Kemp,D.C. United,24,5' 11",153,USA,Active,Tkemp02
21,GK,Jon Kempin,Sporting Kansas City,21,6' 1",170,USA,Active,JonKempin21
,GK,Dan Kennedy,FC Dallas,32,6' 1",200,USA,Active,1DanKennedy
23,M/D,Perry Kitchen,D.C. United,22,6',160,USA,Active,PerryKitchen23
16,M,Sacha Kljestan,New York Red Bulls,29,6' 1",170,USA,Active,SachaKljestan
3,D,Chris Klute,Columbus Crew SC,24,6' 1",172,USA,Active,No Twitter
18,G,Brad Knighton,New England Revolution,30,6' 1",180,USA,Active,bbknighton
16,M,Daigo Kobayashi,New England Revolution,31,5' 10",150,Japan,Active,DaigoKobayashi_
28,M,Gershon Koffie,Vancouver Whitecaps FC,23,6',175,Ghana,Active,Gersh28koffie
1,GK,Chris Konopka,Toronto FC,29,6' 5",228,USA,Active,ChrisKonopka414
22,D,Chris Korb,D.C. United,27,5' 9",160,USA,Active,No Twitter
15,M,JJ Koval,San Jose Earthquakes,22,6' 1",175,USA,Active,No Twitter
11,M,Aaron Kovar,Seattle Sounders FC,21,5' 10",155,USA,Active,AOKovar
22,GK,Eric Kronberg,Montreal Impact,31,6' 5",210,USA,Active,Ekronberg
,GK,Adam Kwarasey,Portland Timbers,27,6' 3",180,Norway,Active,No Twitter
15,M,Matías Laba,Vancouver Whitecaps FC,23,5' 9",154,Argentina,Active,No Twitter
,D,Connor Lade,New York Red Bulls,25,5' 7",145,USA,Active,clade5
13,M,Michael Lahoud,Philadelphia Union,28,5' 8",162,Sierra Leone,Active,MikeLahoud
28,GK,Matt Lampson,Columbus Crew SC,25,6' 3",190,USA,Active,No Twitter
20,M,Jeff Larentowicz,Chicago Fire,31,6' 1",175,USA,Active,No Twitter
21,F,Cyle Larin,Orlando City SC,19,6' 2",190,,Active,CyleLarin
9,F,Sébastien Le Toux,Philadelphia Union,31,6',155,France,Active,SebastienLeToux
55,D,Wandrille Lefèvre,Montreal Impact,25,6' 1",175,France,Active,wandrillelef
24,F,Steven Lenhart,San Jose Earthquakes,28,6' 1",190,USA,Active,Lenny24balls
22,D,Leonardo,LA Galaxy,27,6' 2",185,Brazil,Active,LeonardoLA22
9,,Robert Lewandowski,FC Bayern Munich,2015,,,,Active,No Twitter
25,M,Andre Lewis,Vancouver Whitecaps FC,20,5' 9",145,Jamaica,Active,AndreLewis_LA
30,GK,Michael Lisch,Houston Dynamo,24,6' 4",175,,Active,No Twitter
25,M,Aaron Long,Seattle Sounders FC,22,6' 1",173,USA,Active,A_LoLo12
12,M,Mikey Lopez,Sporting Kansas City,21,5' 8",160,USA,Active,MLopez12_5
26,D,Adrián López,Montreal Impact,27,6',192,Spain,Active,No Twitter
15,M,Alexander López,Houston Dynamo,22,5' 9",155,Honduras,Active,No Twitter
19,M,Daniel Lovitz,Toronto FC,23,5' 10",170,USA,Active,DLovitz11
31,D,Damion Lowe,Seattle Sounders FC,21,6' 3",175,Jamaica,Active,BallaNana
17,D,Zach Loyd,FC Dallas,27,5' 10",168,USA,Active,ZachLoyd
8,F,Péguy Luyindula,New York Red Bulls,35,5' 10",158,Democratic Republic of the Congo,Active,No Twitter
,GK,Zac MacMath,Colorado Rapids,23,6',176,USA,Active,ZacMacMath
9,F,Mike Magee,Chicago Fire,30,5' 10",160,USA,Active,magee9
10,M,Cristian Maidana,Philadelphia Union,28,5' 11",165,Argentina,Active,No Twitter
16,D,Calum Mallace,Montreal Impact,25,6' 1",181,Scotland,Active,CMallace10
10,M,Shaun Maloney,Chicago Fire,32,5' 7",154,Malaysia,Active,No Twitter
23,F,Kekuta Manneh,Vancouver Whitecaps FC,20,5' 9",140,Gambia,Active,kekuta16
20,M,Chris Mannella,Toronto FC,20,5' 9",173,Canada,Active,No Twitter
29,D,Abdoulie Mansally,Real Salt Lake,26,5' 10",160,Gambia,Active,KennyMansally
80,F,Victor Mansaray,Seattle Sounders FC,17,5' 11",180,Sierra Leone,Active,No Twitter
21,M,Justin Mapp,Montreal Impact,30,6' 1",160,USA,Active,No Twitter
42,M,James Marcelin,Sporting Kansas City,28,6' 2",175,Haiti,Active,jamesmarcelin
1,GK,Luis Marin,Sporting Kansas City,31,6' 2",196,Chile,Active,Luis1Marin
16,D,Richie Marquez,Philadelphia Union,22,6' 2",185,USA,Active,No Twitter
14,D,Chad Marshall,Seattle Sounders FC,30,6' 4",190,USA,Active,ChadMarshall14
27,M,Collin Martin,D.C. United,20,5' 11",150,USA,Active,No Twitter
3,M,Felipe Martins,New York Red Bulls,24,5' 9",150,Brazil,Active,FeliMartins23
9,F,Obafemi Martins,Seattle Sounders FC,30,5' 7",154,Nigeria,Active,oba_martins
11,F,Darren Mattocks,Vancouver Whitecaps FC,24,5' 10",155,Jamaica,Active,DarrenMattocks
4,D,Aaron Maund,Real Salt Lake,24,6' 1",185,USA,Active,Imamaundsta
92,GK,Raïs Mbolhi,Philadelphia Union,28,6' 3",176,France,Active,No Twitter
32,F,Jack McBean,LA Galaxy,20,6',175,USA,Active,jackmcbean
11,M,Dax McCarty,New York Red Bulls,27,5' 9",150,USA,Active,DaxMcCarty11
99,F,Jack McInerney,Montreal Impact,22,5' 10",151,USA,Active,JackMcInerney9
30,M,Ben McKendry,Vancouver Whitecaps FC,21,5' 11",150,Canada,Active,ben_mckendry
20,M,Jimmy McLaughlin,Philadelphia Union,21,5' 8",135,USA,Active,J_McLaughlinIII
15,M,Thomas McNamara,New York City FC,24,5' 9",170,USA,Active,No Twitter
18,GK,Ryan Meara,New York City FC,24,6' 4",185,USA,Active,rmeara_18
4,D,Tyrone Mears,Seattle Sounders FC,32,5' 11",163,England,Active,No Twitter
94,M,Jimmy Medranda,Sporting Kansas City,21,5' 5",150,Colombia,Active,jimmymedranda
29,GK,Tim Melia,Sporting Kansas City,28,6' 1",190,USA,Active,TimMelia28
40,F,Raul Mendiola,LA Galaxy,20,5' 8",150,Mexico,Active,No Twitter
,D,Andrés Mendoza,New York City FC,25,6' 2",194,Ecuador,Active,No Twitter
9,F,Justin Meram,Columbus Crew SC,26,6' 1",165,USA,Active,JustinMeram
13,GK,Bryan Meredith,San Jose Earthquakes,25,6' 2",195,USA,Active,bryanmeredith1
,M,Dan Metzger,D.C. United,21,5' 10",163,,Active,Metzger_Dan
21,D,Tommy Meyer,LA Galaxy,24,6' 2",175,USA,Active,No Twitter
9,F/M,Nicolás Mezquida,Vancouver Whitecaps FC,23,5' 6",150,Uruguay,Active,No Twitter
20,D,Matt Miazga,New York Red Bulls,19,6' 3",185,USA,Active,MattMiazga3
31,M/D,Michel,FC Dallas,33,6' 1",165,Brazil,Active,No Twitter
7,D,Roy Miller,New York Red Bulls,30,6' 2",166,Costa Rica,Active,No Twitter
3,D,Eric Miller,Montreal Impact,22,6' 1",175,USA,Active,EMillllllllller
33,M,Leonel Miranda,Houston Dynamo,21,5' 8",,Argentina,Active,No Twitter
18,M,Kevin Molino,Orlando City SC,24,5' 11",145,Trinidad &amp; Tobago,Active,No Twitter
3,D,Drew Moor,Colorado Rapids,31,6',165,USA,Active,drewmoor
